# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.054532,0.000000,1422.419180,14.123248,0.000000,78.485558,0.705387,-0.049286,0.049286,-0.705387,0.217063,0.000000,0.000000,22.761788,0.000002,145.902331,0.678275,0.000001,0.000000,-0.000014,20.450731,-14.964268,5.918055,0.000004,0.000000,85364.088902,0.991270,0.000018,347.220687,10.000000,0.000000,79.746153,147.667155,14.123248,79.798963,32.990254,-106.974931,14.123248,0.000001,3061.530374,20.450735,14.964268,0.188781,70025.927469,307196.603875,377222.531344,277553.641404,-1193.342707
1.200000,15.096291,-0.000001,1496.878777,20.364293,-0.000004,169.343145,0.706990,-0.012812,0.012812,-0.706990,-0.166727,0.000000,0.000000,4.356621,-0.000019,146.060408,-1.255536,-0.000001,0.000000,0.000012,-27.851641,-68.193669,-9.593676,-0.000006,0.000000,84588.385202,0.982263,0.000018,347.220687,10.000000,0.000000,170.563200,146.125371,20.364293,83.142846,32.990254,-106.974748,20.364293,0.000171,14136.977459,27.819170,68.193669,0.102001,305617.182929,308421.177783,614038.360712,570399.805463,-11631.331415
1.800000,29.106660,-0.000006,1624.058096,26.127288,-0.000012,251.996000,0.706831,-0.019749,0.019749,-0.706831,-0.096434,-0.000000,0.000000,4.752350,-0.000005,93.474389,-1.276209,0.000001,0.000000,-0.000012,-20.802273,-158.100113,-8.674772,0.000006,0.000000,83276.664470,0.967031,0.000018,347.220687,10.000000,0.000000,253.346836,93.595119,26.127288,84.080646,32.990254,-106.974516,26.127288,0.000051,30829.934979,20.802273,158.100113,0.031039,645011.660841,320102.308947,965113.969788,566484.595569,-40054.163444
2.400000,45.054329,-0.000014,1777.519367,26.479994,-0.000013,251.419725,0.706674,-0.024743,0.024743,-0.706674,-0.029970,0.000000,0.000000,0.051876,0.000001,-17.553812,0.876871,0.000001,0.000000,-0.000016,11.871678,-154.491263,5.787350,0.000007,0.000000,81715.851566,0.948906,0.000018,347.220687,10.000000,0.000000,252.810340,17.553888,26.479994,83.987667,32.990254,-106.974252,26.479994,0.000017,30119.919854,11.877363,154.491263,0.002966,639130.683556,348630.206052,987760.889608,0.000000,-39056.988717
3.000000,60.868102,-0.000021,1925.261733,26.228202,-0.000012,241.128013,0.706693,-0.024191,0.024191,-0.706693,0.028612,0.000000,0.000000,-0.341764,-0.000001,-16.786787,0.151885,-0.000002,0.000000,0.000032,2.726980,-139.743363,1.002442,-0.000015,0.000000,80235.667603,0.931718,0.000018,347.220687,10.000000,0.000000,242.550278,16.790266,26.228202,83.792176,32.990254,-106.973990,26.228202,0.000041,27208.984598,2.796539,139.743363,0.002701,588306.374624,377607.359519,965913.734142,-0.000000,-33894.791433
3.600000,76.512230,-0.000029,2066.966450,25.948517,-0.000012,231.294613,0.706699,-0.024024,0.024024,-0.706699,0.011739,-0.000000,0.000000,-0.516399,0.000001,-16.016857,-0.142399,0.000001,0.000000,-0.000008,-1.869228,-124.618784,-0.939831,0.000004,0.000000,78836.444520,0.915470,0.000018,347.220687,10.000000,0.000000,232.745620,16.025179,25.948517,83.598858,32.990254,-106.973731,25.948517,0.000045,24603.953884,1.901346,124.618784,0.000455,541705.236303,405400.330687,947105.566990,-0.000000,-29004.476227
4.200000,91.999629,-0.000036,2202.900138,25.692624,-0.000012,221.882228,0.706677,-0.024653,0.024653,-0.706677,-0.000224,-0.000000,0.000000,-0.468617,0.000001,-15.363049,-0.108441,0.000001,0.000000,-0.000009,-1.605439,-111.510942,-0.715710,0.000004,0.000000,77512.838211,0.900099,0.000018,347.220687,10.000000,0.000000,223.364800,15.370194,25.692624,83.394910,32.990254,-106.973475,25.692624,0.000047,22267.551647,1.600258,111.510942,0.000001,498918.338485,432061.412753,930979.751238,-0.000000,-24907.619169
4.800000,107.344096,-0.000043,2333.298936,25.462469,-0.000012,212.837685,0.706649,-0.025439,0.025439,-0.706649,-0.003060,-0.000000,0.000000,-0.405141,0.000000,-14.789914,-0.058013,0.000000,0.000000,-0.000003,-0.915384,-99.989929,-0.382887,0.000001,0.000000,76260.092811,0.885552,0.000018,347.220687,10.000000,0.000000,214.355353,14.795462,25.462469,83.177941,32.990254,-106.973221,25.462469,0.000050,20163.567431,0.914771,99.989929,0.000031,459482.175603,457636.920207,917119.095811,0.000000,-21433.376675
5.400000,122.557116,-0.000050,2458.370350,25.251954,-0.000012,204.117732,0.706620,-0.026240,0.026240,-0.706620,-0.003025,-0.000000,0.000000,-0.358688,0.000000,-14.283054,-0.031023,0.000000,0.000000,-0.000001,-0.514056,-89.813553,-0.204749,0.000000,0.000000,75073.980886,0.871779,0.000018,347.220687,10.000000,0.000000,205.673795,14.287557,25.251954,82.947618,32.990254,-106.972969,25.251954,0.000050,18262.314419,0.513347,89.813553,0.000030,423017.098420,482167.551894,905184.650314,-0.000000,-18472.294187
